Beam,PackingX,PackingY,GroundCenterRadiusDeg,GroundAzimuthDeg,CenterOffNadirDeg,RequiredAngularHalfWidthDeg,MaximumEdgeOffNadirDeg
1,1.11478219727172e-11,-2.36430582477826e-11,2.53333478182246e-11,295.244115495154,0,16.8423593677784,16.8423593681493
2,-0.999999999988852,1.73205080754523,1.9383267838106,120.000000000062,31.0274636676112,14.9180515564922,41.6804345464986
3,1.00000000001115,1.73205080754523,1.93832678382141,59.9999999993848,31.0274636677494,14.9180515564684,41.6804345465991
4,-1.99999999998885,-2.36430582477826e-11,1.93832678382505,180.000000000677,31.0274636677959,14.9181351760173,41.6797779379715
5,2.00000000001115,-2.36430582477826e-11,1.93832678384665,359.999999999323,31.0274636680723,14.9181351759696,41.6797779381733
6,-0.999999999988852,-1.73205080759252,1.93832678385029,240.000000000615,31.0274636681186,14.9180313681015,41.6804740165248
7,1.00000000001115,-1.73205080759252,1.9383267838611,299.999999999938,31.0274636682568,14.9180313680772,41.6804740166261
8,1.11478219727172e-11,3.46410161511411,3.35728047125235,89.9999999998156,45.5865693758986,11.8894650416603,52.1965784188038
9,-2.99999999998885,1.73205080754523,3.35728047125445,150.000000000247,45.5865693759154,11.8910904424868,52.1949829382494
10,3.00000000001115,1.73205080754523,3.35728047127317,29.9999999995691,45.5865693760653,11.8910904424504,52.1949829383572
11,-2.99999999998885,-1.73205080759252,3.35728047127737,210.000000000431,45.586569376099,11.8911401905701,52.1952383647097
12,3.00000000001115,-1.73205080759252,3.35728047129608,329.999999999754,45.5865693762489,11.8911401905339,52.1952383648183
13,1.11478219727172e-11,-3.4641016151614,3.35728047129818,270.000000000184,45.5865693762657,11.889465041572,52.1965784190686
14,-1.99999999998885,3.46410161511411,3.87665356764645,120.000000000031,49.4003601142266,10.9362443794515,54.955277669823
15,2.00000000001115,3.46410161511411,3.87665356765726,59.9999999996924,49.4003601142992,10.9362443794325,54.9552776698754
16,-3.99999999998885,-2.36430582477826e-11,3.87665356766089,180.000000000339,49.4003601143236,10.9351132923218,54.9536922561792
17,4.00000000001115,-2.36430582477826e-11,3.8766535676825,359.999999999661,49.4003601144687,10.9351132922844,54.9536922562845
18,-1.99999999998885,-3.4641016151614,3.87665356768614,240.000000000308,49.4003601144931,10.9362660178459,54.9554763190601
19,2.00000000001115,-3.4641016151614,3.87665356769694,299.999999999969,49.4003601145656,10.9362660178271,54.9554763191131
20,-0.999999999988852,5.19615242268299,5.12833062958077,100.893394649061,56.2785686940871,9.043066586311,59.994857612555
21,-3.99999999998885,3.46410161511411,5.12833062958214,139.106605350984,56.2785686940931,9.0402640519321,59.9838868859882
22,1.00000000001115,5.19615242268299,5.12833062958485,79.1066053507022,56.2785686941053,9.04306658630517,59.9948576125693
23,-4.99999999998885,1.73205080754523,5.1283306295876,160.893394649333,56.2785686941175,9.03494215194792,59.9990503235721
24,4.00000000001115,3.46410161511411,5.12833062959848,40.8933946488584,56.278568694166,9.04026405191036,59.9838868860412
25,-4.99999999998885,-1.73205080759252,5.1283306296026,199.106605351151,56.2785686941842,9.03940803586875,59.9828022491341
26,5.00000000001115,1.73205080754523,5.12833062960802,19.1066053505877,56.2785686942084,9.03494215192054,59.9990503236396
27,-3.99999999998885,-3.4641016151614,5.12833062961214,220.893394649403,56.2785686942268,9.03906718291512,59.9978473046786
28,-0.999999999988852,-5.19615242273028,5.12833062962577,259.106605351036,56.2785686942875,9.04386797344427,59.9915428352953
29,4.00000000001115,-3.4641016151614,5.12833062962848,319.106605350755,56.2785686942995,9.03906718289439,59.9978473047323
30,1.00000000001115,-5.19615242273028,5.12833062962985,280.893394649201,56.2785686943057,9.043867973439,59.9915428353097
